CHAR,DIALOG,NAME,_ID,RUNTIMEINMINUTES,ACADEMYAWARDNOMINATIONS,ACADEMYAWARDWINS,RELEASE_YEAR,DL_LEN
SAM,"I wonder if people will ever say,      ""Let's hear about Frodo and the Ring.""      And they'll say,      ""Yes! That's one of my favourite stories.""      ""Frodo was really courageous, wasn't he, Dad? ""      ""Yes, my boy. ,The most famousest of Hobbits.      And that's saying a lot."",",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,283
GRIMA,"Theoden will not stay at Edoras.It's vulnerable. He knows this.,He will expect an attack on the city.,They will flee to Helm's Deep......the great fortress of Rohan.,It is a dangerous road to takethrough the mountains.,They will be slow.,They will have women and childrenwith them.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,281
ELROND VOICEOVER,"But you, my daughter......you will linger on in darknessand in doubt......as nightfall in winterthat comes without a star.Here you will dwell......bound to your griefunder the fading trees...... until all the world is changed......and the long years of your lifeare utterly spent.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,280
TREEBEARD,"Bru-ra-hroom. Don't be hasty.You might call it far, perhaps.My home lies deep in the forest......near the roots of the mountain.I told Gandalf I would keep you safe.And safe is where I'll keep you.I believe you will enjoy this next one too. ,It's one of my own compositions.Right.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,280
ELROND VOICEOVER,Whether by the swordor the slow decay of time......Aragorn will die.And there will be no comfortfor you......no comfort to ease the painof his passing.He will come to death......an image of the splendorof the kings of Men......in glory undimmed beforethe breaking of the world.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,277
DENETHOR,"Do not trouble me with Faramir......I know his uses, and they are few.     We have more urgent things to speak of. Elrond of Rivendell has called a     meeting. He will not say why, but I have guessed its purpose. It is rumored     that the weapon of the enemy has been found.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,276
GANDALF,The veiling shadow that glowers in the east takes shape.Sauron will suffer no rival.From the summit of Barad-durhis Eye watches ceaselessly.But he is not so mighty yetthat he is above fear.Doubt ever gnaws at him.The rumor has reached him.The heir of Numenor still lives.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,271
GANDALF,"The Grey Pilgrim.     That's what they used to call me. Three hundred lives of Men I've walked     this earth, and now I have no time. With luck, my search will not be in     vain. ,Look to my coming at first light on the fifth day. At dawn, look to     the east.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,263
MADRIL,"Our scouts report Saruman has attacked Rohan. , Theoden's people have fled     to Helm's Deep. But we must look to our own borders. Faramir, Orcs are on     the move. Sauron is marshaling an army. Easterlings and Southrons are at the     Black Gate.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,249
TREEBEARD,"War? Yes. It affects us all. Tree, root and twig.      But you must understand, young Hobbit......it takes a long time......to say anything in Old      Entish... ,...and we never say anything......unless it is worth taking......a long time to say.,",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,248
THEODEN,"Simbelmyne. Ever has it grown on the tombs of my forebearers.,Now it shall cover the grave    of my son. Alas that these evil days should be mine. The young perish and     the old linger. That I should live......to see the last days of my house.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,245
GANDALF,It was more than mere chance thatbrought Merry and Pippin to Fangorn.A great power has been sleeping herefor many long years.The coming of Merry and Pippinwill be like the falling of small stones......that starts an avalanchein the mountains.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,242
SARUMAN VOICE OVER ,The Old World will burnin the fires of industry.The forests will fall.A new order will rise.We will drive the machine of warwith the sword and the spear...... and the iron fists of the Orc. We have only     to remove those who oppose us.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,237
FARAMIR,"So this is the answer to all the riddles. ,Here in the     Wild I have you......two Halflings......and a host of men at my call.,The Ring of Power within my     grasp.,A chance for Faramir, captain of Gondor......to     show his quality.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,237
SAM,"Mordor. The one place in Middle-earthwe don't want to see any closer.And it's the one placewe're trying to get to.It's just where we can't get.    Let's face it, Mr. Frodo, we're lost.I don't think Gandalf meant for us tocome this way.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,235
GANDALF,"This is but a taste of the terror that Saruman will unleash.    ,All     the more potent for he is driven now by fear of Sauron. Ride out and meet     him head on. Draw him away from your women and children.    , You must     fight.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,232
TREEBEARD,It isn't safe.The trees have grown wildand dangerous.Anger festers in their hearts.Black are their thoughts.Strong is their hate.They will harm you if they can.There are too few of us now.Too few of us Ents left to manage them.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,227
FARAMIR,Saruman attacks from lsengard. Sauron from Mordor. The fight will come to     Men on both fronts. Gondor is weak. Sauron will strike us soon. And he will     strike hard. He knows now we do not have the strength to repel him.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,225
FRODO,"There was no other.    ,We set out from Rivendell with seven companions. One we lost in Moria......two     were my kin......a Dwarf there was also. And an Elf and two Men. Aragorn,     son of Arathorn, and Boromir of Gondor.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,224
THEODEN,"(    Gondor?! Where was Gondor when the Westfold fell?! Where was Gondor when our     enemies closed in around us?! Where was Gon--? ,No, my Lord     Aragorn......we are alone. ,Get the women and children     into the caves.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,224
SAM,"Do you want to know      what happened to Boromir? ,You want to know why your brother died? He tried to take the Ring from Frodo after swearing an oath to protect him! ,He tried to kill him! The Ring drove your brother mad!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,223
THEODEN,"They will break upon this fortress like water on rock.    ,Saruman's     hordes will pillage and burn.    We've seen it before. Crops can be resown......homes rebuilt. Within these     walls......we will outlast them.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,217
GOLLUM,"The thieves............... The thieves.The filthy little thieves.Where is it?.............Where is it?They stole it from us.............My precious.........Curse them, we hates them!It's ours, it is, and we wants it!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,216
TREEBEARD,"Sleep, little Shirelings.Heed no nightly noise.Sleep till morning light.I have business in the forest.There are many to call.Many that must come. ,The Shadow lies on Fangorn.The withering of all woodsis drawing near.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,216
TREEBEARD,"That doesn't make sense to me.      But then......you are very small. ,Perhaps you're right. South it is, then.      Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill.,",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,211
SARUMAN,"The Ring of Barahir.So Gandalf Greyhamethinks he has found lsildur's heir.The lost king of Gondor.He is a fool.The line was broken years ago. ,It matters not.The world of Men shall fall.It will begin at Edoras.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,210
MERRY,"The fires of lsengard will spread......and the woods of Tuckborough and Buckland will burn.      And.... ,And all that was once green and good      in this world will be gone. There won't be a Shire, Pippin.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,207
ELROND,If Aragorn survives this waryou will still be parted.If Sauron is defeatedand Aragorn made king......and all that you hope forcomes true......you will still have to tastethe bitterness of mortality.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,198
GOLLUM,"No!No! No, master!They catch you! They catch you!Don't take it to him.He wants the precious.Always he is looking for it.And the precious is wantingto go back to him.But we mustn't let him have it.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,196
GRIMA,"No, from the North.One of the Dunedain RangersI thought he was.His cloth was poor.And yet he bore a strange ringTwo serpents with emerald eyes..One devouringthe other crowned with golden flowers.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,195
TREEBEARD,"Hobbits?Never heard of a Hobbit before.Sounds like Orc mischief to me! ,They come with fire.They come with axes.Gnawing, biting, breakinghacking, burning! Destroyers and usurpers! Curse them!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,191
TREEBEARD,"We Ents have not troubled......about the wars of Men and     wizards......for a very long time. But now, something is about to     happen......that has not happened......for an age.,Entmoot.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,190
THEODEN,They will be 300     leagues from here by now. Eomer cannot help us. I know what it is you want     of me......but I will not bring further death to my people. I will not risk     open war.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,189
SAM,"Who's gonna follow us down hereMr. Frodo?It's a shame, really.Lady Galadriel gave me that.Real Elvish rope.    Well, there's nothing for it.It's one of my knots.Won't come free in a hurry.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,188
SARUMAN VOICE OVER,The world is changing.Who now has the strength to standagainst the armies of Isengard......and Mordor?To stand against the might of Sauronand Saruman......and the union of the two towers?,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,187
THEODEN,"What would you have me do? Look at my men. Their courage hangs by a     thread. If this is to be our end, then I would have them make such an     end......as to be worthy of remembrance.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,186
GOLLUM,"Oh, cruel Hobbit.It does not care if we be hungry.Does not care if we should die. ,Not like master.Master cares.Master knows.Yes.Precious.Once it takes hold of us......it never lets go.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,185
GOLLUM,"Master betrayed us. Wicked. Tricksy. False. ,We ought to wring his filthy little neck.,Kill him! Kill him! Kill them both! ,And then we take the precious......and we be the master!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,180
GIMLI,"Then we have run all this way for nothing?Are we to leave those poor Hobbits here......in this horrid, dark, dank tree-infested--?    ,I mean, charming......quite charming forest.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,179
GIMLI,"Where is he? Where is he?,Get out of the     way! I'm going to kill him!,You are the luckiest, the canniest    ,.....and the most reckless man     I ever knew. Bless you, laddie.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,178
ELROND,Our time here is ending.Arwen's time is ending.Let her go.Let her take the ship into the west.Let her bear away her love for youto the Undying Lands.There it will be ever green.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,177
PIPPIN,I had the loveliest dream last night.There was this large barrelfull of pipe-weed.And we smoked all of it.And then......you were sick.I'd give anything for a whiff of Old Toby.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,176
DENETHOR,"You? Oh, I see. A chance for Faramir, captain of Gondor, to show his     quality. I think not. ,I trust this mission only to your brother. The one who will not     fail me.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,172
PIPPIN,"Yes. Exactly.,If we go south, we can slip      past Saruman unnoticed. The closer we are to danger, the farther we are from harm.      It's the last thing he'll expect.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,168
GANDALF,"Edoras and the Golden Hall of Meduseld. There dwells Theoden,     King of Rohan...... whose mind is overthrown. Saruman's hold over King     Theoden is now very strong.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,168
DENETHOR,"lt has fallen into the hands of     the Elves. Everyone will try to claim it: Men, Dwarves, wizards. We cannot     let that happen. This thing must come to Gondor.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,163
SAM,"I do. ,It's the Ring.You can't take your eyes off it.I've seen you.You're not eating. You barely sleep. ,It's taken hold of you, Mr. Frodo. You have to fight it.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,161
EOMER,"Warmongering?,How long is it sinceSaruman bought you?What was the promised price, Grima?When all the Men are deadyou will take your share of the treasure?",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,154
THEODEN,I haven't seen my niece smilefor a long time.She was a girl when they broughther father back dead.Cut down by Orcs.She watched her mothersuccumb to grief.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,154
PIPPIN,"Maybe Treebeard's right. We don't belong here, Merry. It's too big for us.      What can we do in the end? We've got the Shire. Maybe we should go home.,",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,153
MERRY,You remember the Old Foreston the borders of Buckland?Folk used to say there was something inthe water that made the trees grow tall......and come alive.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,153
FARAMIR,"His horn washed up upon the riverbank, about six days past. It was     cloven in two. But more than this, I know it in my heart.    ,He was my brother.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,151
GANDALF,Be silent. Keep your forked tongue behind your teeth. I have     not passed through fire and death......to bandy crooked words with a witless     worm.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,151
SAM,"Folk in those stories......had lots of chances of turning back, only they didn't.      They kept going......because they were holding on to something.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,150
FRODO,"I can't. You were right, Sam. You tried to tell me but....,I'm sorry. The Ring's taking me, Sam. If I put it     on......he'll find me. He'll see.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,146
GOLLUM,"All dead. All rotten.Elves and Men and Orcses.A great battle long ago.Dead Marshes.Yes. Yes, that is their name.This way.Don't follow the lights.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,145
TREEBEARD,There was a time......when Saruman would walk in my woods.But now he has a mind of metal......and wheels.He no longer cares for growing things.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,143
GRIMA,"A just question, my liege. ,Late is the hour......in which this     conjurer chooses to appear., Lathspell I name him.Ill news is an ill guest.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,143
GOLLUM,Wicked Men.Servants of Sauron.They are called to Mordor.The Dark One is gathering all armiesto him.It won't be long now.He will soon be ready.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,142
GIMLI,"It's true, you don't seemany Dwarf women.And in fact, they are so alikein voice and appearance......that they're often mistakenfor Dwarf men.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,141
GIMLI,"This, in turn, has given riseto the belief......that there are no Dwarf women......and that Dwarves just spring outof holes in the ground...",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,140
SAM,"Stop it! Leave him alone. ,Don't you understand? He's got to destroy     it! That's where we're going, into Mordor. To the Mountain of Fire!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,140
ARAGORN,"I am Aragorn, son of Arathorn.This is Gimli, son of Gloinand Legolas of the Woodland Realm.We are friends of Rohanand of Theoden, your king.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,140
GRIMA,Helm's Deep has one weakness.Its outer wall is solid rock......but for a small culvertat its base...... which is little more than a drain.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,138
SAM,"Because.Because that's what he is, Mr. Frodo.There's naught left in himbut lies and deceit.It's the Ring he wants.It's all he cares about.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,138
GANDALF VOICE OVER,"I am a servant of the Secret Fire, wielder of the flame of Anor.    Go back to the Shadow.The dark fire will not avail you,flame of Udun!",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,137
THEODEN,We will cover the causeway and the gate from above. No army has ever     breached the Deeping Wall......or set foot inside the Hornburg!,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,136
GRIMA,Why do you lay these troubleson an already troubled mind?Can you not see?Your uncle is weariedby your malcontent......your warmongering.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,136
GOLLUM,"No. Ashes and dust and thirst there isand pits, pits, pits.And Orcses, thousands of Orcses.And always the Great Eye watching,watching.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,134
ARAGORN,Rohan.Home of the Horse-lords.There's something strange at work here.Some evil gives speedto these creatures.Sets its will against us.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,134
GANDALF,A thing is about to happen that has nothappened since the Elder Days.The Ents are going to wake up.....and find that they are strong.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,133
EOWYN,"They had no warning. They were unarmed. Now the Wild Men are moving     through the Westfold, burning as they go. Rick, cot and tree.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,133
SAM,"We have to get out of here.     You go. Go, now. You can do it. Use the Ring, Mr. Frodo. Just this once. Put     it on. Disappear.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,130
GANDALF VOICE OVER,Stars wheeled overhead......and every day was as longas a life age of the Earth.But it was not the end.I felt life in me again.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,127
FARAMIR,"Take them to my father. ,Tell him Faramir sends a mighty gift.      ,A weapon that will change our fortunes      in this war. ,",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,127
EOWYN,I have heard of the magic of Elves......but I did not look for it in a     Ranger from the North.You speak as one of their own.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,127
FARAMIR,This is the old sewer. Runs right under the river through to the edge of the city.      You'll find cover in the woods there.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,125
THEODEN,Then she was left aloneto tend her king in growing fear.Doomed to wait upon an old manwho should have loved her as a father.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,124
EOWYN,You are one of the Dunedain.A descendant of Numenorblessed with long life.It was said that your racehad passed into legend.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,123
SARUMAN VOICE OVER,We have only to remove thosewho oppose us.It will begin in Rohan.Too long have these peasantsstood against you.But no more.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,123
ARAGORN,You have 2000 good men riding north as we speak. Eomer is loyal to you.     His men will return and fight for their king.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,121
ARAGORN,You said this fortress would never fall while your men defend it.      They still defend it. They have died defending it.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,121
TREEBEARD,"Come, my friends. The Ents are going to war. It is likely......that we go to our doom.      Last march......of the Ents.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,120
GANDALF,"So stop your fretting, Master Dwarf.Merry and Pippin are quite safe.In fact, they are far saferthan you are about to be.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,120
GANDALF,"He was strong in life. His spirit will find its way to the halls of your     fathers. Westu h'l. Fer'u, Th'odred, Fer'u.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,120
ARAGORN,They do not come to destroy Rohan's crops or villages. They come to     destroy its people......down to the last child.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,119
EOMER,Orcs are roaming freelyacross our lands.Unchecked. Unchallenged.Killing at will.Orcs bearing the White Hand of Saruman,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,118
GOLLUM,We wants it.We needs it.Must have the precious.They stole it from us.Sneaky little Hobbitses.Wicked. Tricksy. False.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,116
TREEBEARD,"Beech. Oak. Chestnut. Ash. Good. Good. Good. Many have come.,Now we must decide if the Ents......will     go to war.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,116
EOWYN,A cage.To stay behind bars until useand old age accept them.And all chance of valor has gonebeyond recall or desire.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,116
TREEBEARD,I will leave you at the western borders of the forest. You can make your way north      to your homeland from there.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,116
SAM,"Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you?      He was trying to save you, see?",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,114
EOWYN,"My uncle told me a strange thing.He said that you rode to warwith Thengel, my grandfather.But he must be mistaken.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,114
GOLLUM,We swears......to serve the master ...........of the precious. We will swear on.....on the preciousGollum. Gollum.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,114
SAM ,"Quiet, you!It's hopeless. Every Orc in Mordor'sgoing to hear this racket.    Let's just tie him up and leave him.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,113
EOWYN,Women of this country learned long ago:Those without swordscan still die upon them.I fear neither death nor pain.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,113
SAM,"Hey! Come back now! Come back!There! What did I tell you?He's run off, the old villain.So much for his promises.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,112
FRODO,"Well, you've left out one of the chief characters:      ""Samwise the Brave.""      I want to hear more about Sam.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,112
ARAGORN,We are no spies.We track a party of Uruk-haiwestward across the plain.They have taken two of our friendscaptive.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,112
GRIMA,"Oh, he must have died sometime in the night. What a tragedy     for the king......to lose his only son and heir.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,112
GOLLUM,We be nice to themif they be nice to us.Take it off us.We swears to do what you wants................We swears.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,111
MADRIL,Faramir! Orcs have taken the eastern shore. Their numbers are too great.      By nightfall we will be overrun.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,110
FRODO,"Smeagol, you must trust master. Follow me. Come on. Come. Come, Smeagol.     Nice Smeagol. That's it. Come on.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,110
THEODEN,And who will come? Elves? Dwarves? We are not so lucky in our friends as     you. The old alliances are dead.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,109
GAMLING,There is one passage. It leads into the mountains. But they will not get far.      The Uruk-hai are too many.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,109
GOLLUM,The rock and pool    Is nice and cool    So juicy sweet    Our only wish    To catch a fish    So juicy sweet,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,109
MADRIL,"You know the laws of our country, the laws of your father. If you let them go      your life will be forfeit.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,109
ARWEN VOICEOVER,The light of the Evenstardoes not wax and wane.It is mine to give to whom I will.Like my heart.Go to sleep.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,107
THEODEN,"Get them into the caves. , Saruman's arm will have grown long indeed if he thinks he can     reach us here.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,107
GIMLI,This is no rabble of mindless Orcs. These are Uruk-hai. Their armour is     thick and their shields broad.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,106
DENETHOR,"Oh, too few. You let the enemy walk in and take it on a whim. Always you     cast a poor reflection on me.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,106
TREEBEARD,Side?I am on nobody's side......because nobody's on my sidelittle Orc.Nobody cares for the woods anymore.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,105
SAM,"You'll make him sick, you will......behaving like that.    ,There's only one way to eata brace of coneys.",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,105
FRODO,Wait. This creature is bound to me. And I to him. He is our guide.     Please......Iet me go down to him.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,105
ARAGORN,It is an army bred for a single purpose: To destroy the world of Men.     They will be here by nightfall.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,105
GRIMA,Too much.You are banished forthwithfrom the kingdom of Rohan......and all its domainsunder pain of death.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,105
FARAMIR,"To enter the Forbidden Pool bears the penalty of death.    ,They wait for my command. Shall I     shoot?",The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,104
FRODO,We are bound to an errand of secrecy.Those that claim to oppose the enemywould do well not to hinder us.,The Two Towers ,5cd95395de30eff6ebccde5b,179,6,2,2002,104
